bookmark_id,bookmark_date,bookmark_title,bookmark_link,bookmark_image,bookmark_note
146,2022-09-05 13:02:24,Sample Breakdown: Daft Punk - Discovery,https://www.youtube.com/watch?v=5AqHSvR9bqs,,
145,2022-07-03 16:41:49,My Restaurant Was My Life for 20 Years. Does the World Need It Anymore?,https://www.nytimes.com/2020/04/23/magazine/closing-prune-restaurant-covid.html,,
144,2021-09-18 15:25:55,The Humans | Official Trailer | A24,https://www.youtube.com/watch?v=dp3Whb77eXc,,
143,2021-06-03 16:23:20,Japanese Breakfast - Savage Good Boy,https://www.youtube.com/watch?v=mcoC5ZgaFjY,,
142,2021-06-01 17:22:08,The everyday racism of offshore call centers,https://restofworld.org/2021/call-centers-racism,,
141,2021-04-04 18:11:03,"studio footage: ""positions"" outro - ariana grande",https://www.youtube.com/watch?v=djpz4OdGuJ4,,
140,2021-02-17 09:22:19,"A Chef's Entire Routine, From Waking Up To Dinner Prep | Allure",https://www.youtube.com/watch?v=iYAMqBzndac,,
139,2021-01-16 15:37:06,Existential psychotherapy helped my students cope with chaos,https://psyche.co/ideas/existential-psychotherapy-helped-my-students-cope-with-chaos,,
138,2020-11-22 16:47:59,James Blake | The First Time Ever I Saw Your Face,https://www.youtube.com/watch?v=HdcEGjDcWrM,,
137,2020-10-15 21:30:49,"Sammy Rae & The Friends - ""Kick It To Me"" (Live at the Sinclair)",https://www.youtube.com/watch?v=q622GJumdIo,,
136,2020-10-07 17:11:09,Rotman Speaker Series | Bruce Mau: MC24 (Clip),https://www.youtube.com/watch?v=fJ9deKkCPUk,,
135,2020-10-06 19:29:37,Jacob Collier Plays the Same Song In 18 Increasingly Complex Emotions | WIRED,https://www.youtube.com/watch?v=EWHpdmDHrn8,,
134,2020-09-27 17:56:26,The Munger Operating System,https://fs.blog/2016/04/munger-operating-system/,,
133,2020-08-25 15:48:49,Caroline Polachek - Door (Live at The Current),https://www.youtube.com/watch?v=bN_2R62f4kw,,
132,2020-08-17 12:43:04,In the Name of Love,https://www.jacobinmag.com/2014/01/in-the-name-of-love/,,
131,2020-08-11 12:00:55,Anatomy of an AI System,https://anatomyof.ai/,,
130,2020-08-05 19:03:48,Why don't you just: Why gov doesn't need tech saviourism (but we do need you),http://www.spydergrrl.com/2020/08/why-dont-you-just-why-gov-doesnt-need.html,,
129,2020-08-04 19:48:08,Ocean Justice: Where Social Equity and the Climate Fight Intersect,https://e360.yale.edu/features/ocean-justice-where-social-equity-and-the-climate-fight-intersect,,
