book_id,record_id,post_title,post_date,read_title,read_subtitle,read_authors,read_date,read_year,read_rating,read_link,read_isbn,read_publisher,read_image
69,2,On Looking,2025-08-05 20:37:47,On Looking,Eleven Walks with Expert Eyes,Alexandra Horowitz,2025-08-05,2022,,,9781439191255,Scribner,/images/on-looking.jpg
68,1,How to Tell a Story,2022-05-05 20:37:47,How to Tell a Story,The Essential Guide to Memorable Storytelling from The Moth,Meg Bowles; Catherine Burns; Jenifer Hixson; Sarah Austin Jenness; Kate Tellers,2022-04-26,2022,,,9780593139004,Crown Publishing Group (NY),
67,,Ethics in the Real World,2022-03-26 08:32:00,Ethics in the Real World,82 Brief Essays on Things That Matter,Peter Singer,2016-09-16,2016,,,9780691172477,Princeton University Press,
66,,The Life You Can Save,2022-03-05 08:24:18,The Life You Can Save,How to Do Your Part to End World Poverty,Peter Singer,2019-12-01,2019,8.5,https://www.thelifeyoucansave.org/the-book/,9781733672702,The Life You Can Save,
65,,Blockchain Chicken Farm,2021-06-16 19:11:36,Blockchain Chicken Farm,And Other Stories of Tech in China's Countryside,Xiaowei Wang,2020-10-13,2020,,,9780374538668,Fsg Originals,
64,,How to Avoid a Climate Disaster,2021-06-12 13:54:00,How to Avoid a Climate Disaster,Solutions We Have and the Breakthroughs We Need,Bill Gates,2021-02-16,2021,,,9780241448304,Allen Lane,
63,,"Offscreen, Issue 24",2021-05-24 20:04:59,Offscreen,Issue 24,,,2021,,,,Offscreen Media,
62,,Crying in H Mart,2021-05-01 09:03:00,Crying in H Mart,,Michelle Zauner,2021-04-20,2021,,,9780525657743,Knopf Publishing Group,
61,,Why Fish Don't Exist,2021-03-21 14:13:42,Why Fish Don't Exist,"A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,2020-04-14,2020,,,9781501160271,Simon Schuster,
60,,The Electricity of Every Living Thing,2021-03-08 15:59:03,The Electricity of Every Living Thing,,Katherine May,2018-04-19,2018,,,9781409172505,Trapeze,
59,,Reasons to Stay Alive,2021-02-15 13:49:00,Reasons to Stay Alive,,Matt Haig,2016-02-16,2016,,,9780143128724,Penguin Books,
58,,All We Can Save,2021-02-07 21:47:23,All We Can Save,"Truth, Courage, and Solutions for the Climate Crisis",,2020-09-22,2020,,,9780593237069,One World,
57,,Thinking in Systems,2020-09-12 10:58:00,Thinking in Systems,A Primer,Donella H. Meadows,,2008,10,https://www.goodreads.com/book/show/3828902-thinking-in-systems,9781603580557,Chelsea Green Publishing,
